,link,name,main_link,proposal_min,proposal_max,proposal_currency
71,https://hh.ru/vacancy/39140271,Junior/Middle/Senior Data Scientist (AI Lab),https://hh.ru,,,
72,https://hh.ru/vacancy/39084554,Математик/ Data-scientist,https://hh.ru,,,
73,https://hh.ru/vacancy/38595162,Data scientist,https://hh.ru,,,
74,https://hh.ru/vacancy/38222140,"Data scientist /аналитик данных (медицина, наука, образование, социология)",https://hh.ru,120000.0,150000.0,руб.
75,https://hh.ru/vacancy/39104817,Data Scientist/ Аналитик данных,https://hh.ru,,,
76,https://hh.ru/vacancy/39151871,Аналитик-разработчик (Data Scientist),https://hh.ru,,,
77,https://hh.ru/vacancy/39176432,Data Scientist,https://hh.ru,,,
78,https://hh.ru/vacancy/38517270,Data scientist,https://hh.ru,,,
79,https://hh.ru/vacancy/38924294,Senior Data Scientist (remotely),https://hh.ru,,,
80,https://hh.ru/vacancy/38079113,Data Scientist,https://hh.ru,,,
81,https://hh.ru/vacancy/39103246,Python developer / data scientist,https://hh.ru,,,
82,https://hh.ru/vacancy/38037678,Data scientist (аналитик/ моделист),https://hh.ru,,,
83,https://hh.ru/vacancy/36997030,Data Scientist (computer vision),https://hh.ru,,,
84,https://hh.ru/vacancy/38083739,Data Scientist (Internal Audit),https://hh.ru,,,
85,https://hh.ru/vacancy/39181844,Data Scientist Дивизион `Массовая персонализация` (Ведущий исследователь данных),https://hh.ru,,,
86,https://hh.ru/vacancy/38527809,Data scientist в Дивизион `Массовая персонализация`,https://hh.ru,,,
87,https://hh.ru/vacancy/39051168,Data Scientist,https://hh.ru,,,
88,https://hh.ru/vacancy/38984081,Ведущий Data scientist,https://hh.ru,,,
89,https://hh.ru/vacancy/38308826,Data Scientist,https://hh.ru,,,
90,https://hh.ru/vacancy/38071205,Data Scientist на проекты по анализу текстов и новостей,https://hh.ru,,,
91,https://hh.ru/vacancy/39112182,Data scientist (NLP/OCR/CV),https://hh.ru,,,
92,https://hh.ru/vacancy/37625294,Data scientist/ Директор в управлении розничного моделирования,https://hh.ru,,,
93,https://hh.ru/vacancy/38504146,Data Scientist,https://hh.ru,,,
94,https://hh.ru/vacancy/38665916,Lead data scientist,https://hh.ru,,,
95,https://hh.ru/vacancy/38386451,Data Scientist,https://hh.ru,,,
96,https://hh.ru/vacancy/39055069,Аналитик (Data Scientist),https://hh.ru,,,
97,https://hh.ru/vacancy/39132016,Senior Data Scientist,https://hh.ru,,,
98,https://hh.ru/vacancy/38324035,Senior Data scientist,https://hh.ru,,,
